model,qtype,n_queries,P@1_mean,P@1_ci_lo,P@1_ci_hi,P@1_ci_str,P@3_mean,P@3_ci_lo,P@3_ci_hi,P@3_ci_str,P@5_mean,P@5_ci_lo,P@5_ci_hi,P@5_ci_str,R@3_mean,R@3_ci_lo,R@3_ci_hi,R@3_ci_str,R@5_mean,R@5_ci_lo,R@5_ci_hi,R@5_ci_str
vanilla_clip,single,10,30.0,0.0,60.0,"30.0 [0.0, 60.0]",26.7,10.0,46.7,"26.7 [10.0, 46.7]",24.0,10.0,38.0,"24.0 [10.0, 38.0]",50.0,20.0,80.0,"50.0 [20.0, 80.0]",60.0,30.0,90.0,"60.0 [30.0, 90.0]"
vanilla_clip,pair,45,6.7,0.0,15.6,"6.7 [0.0, 15.6]",2.2,0.0,5.2,"2.2 [0.0, 5.2]",2.7,0.9,5.3,"2.7 [0.9, 5.3]",6.7,0.0,15.6,"6.7 [0.0, 15.6]",11.1,2.2,20.0,"11.1 [2.2, 20.0]"
vanilla_clip,negative,90,14.4,7.8,22.2,"14.4 [7.8, 22.2]",15.2,10.7,20.0,"15.2 [10.7, 20.0]",15.1,11.3,19.3,"15.1 [11.3, 19.3]",34.4,24.4,43.4,"34.4 [24.4, 43.4]",45.6,35.6,55.6,"45.6 [35.6, 55.6]"
biomedclip,single,10,20.0,0.0,50.0,"20.0 [0.0, 50.0]",20.0,6.7,36.7,"20.0 [6.7, 36.7]",22.0,6.0,40.0,"22.0 [6.0, 40.0]",40.0,10.0,70.0,"40.0 [10.0, 70.0]",50.0,20.0,80.0,"50.0 [20.0, 80.0]"
biomedclip,pair,45,0.0,0.0,0.0,"0.0 [0.0, 0.0]",3.0,0.7,5.9,"3.0 [0.7, 5.9]",5.3,2.2,9.3,"5.3 [2.2, 9.3]",8.9,2.2,17.8,"8.9 [2.2, 17.8]",20.0,8.9,31.1,"20.0 [8.9, 31.1]"
biomedclip,negative,90,21.1,13.3,30.0,"21.1 [13.3, 30.0]",16.7,11.1,22.6,"16.7 [11.1, 22.6]",16.2,11.6,21.1,"16.2 [11.6, 21.1]",33.3,23.3,43.3,"33.3 [23.3, 43.3]",43.3,33.3,53.3,"43.3 [33.3, 53.3]"
cxr-clip,single,10,20.0,0.0,50.0,"20.0 [0.0, 50.0]",43.3,26.7,60.0,"43.3 [26.7, 60.0]",50.0,38.0,64.0,"50.0 [38.0, 64.0]",90.0,70.0,100.0,"90.0 [70.0, 100.0]",100.0,100.0,100.0,"100.0 [100.0, 100.0]"
cxr-clip,pair,45,11.1,2.2,20.0,"11.1 [2.2, 20.0]",9.6,4.4,15.6,"9.6 [4.4, 15.6]",11.1,6.2,16.4,"11.1 [6.2, 16.4]",22.2,11.1,33.3,"22.2 [11.1, 33.3]",33.3,20.0,46.7,"33.3 [20.0, 46.7]"
cxr-clip,negative,90,21.1,13.3,28.9,"21.1 [13.3, 28.9]",20.0,14.8,25.6,"20.0 [14.8, 25.6]",20.0,14.9,25.3,"20.0 [14.9, 25.3]",43.3,33.3,54.4,"43.3 [33.3, 54.4]",54.4,43.3,64.5,"54.4 [43.3, 64.5]"
ours,single,10,50.0,20.0,80.0,"50.0 [20.0, 80.0]",46.7,26.7,66.7,"46.7 [26.7, 66.7]",48.0,30.0,66.0,"48.0 [30.0, 66.0]",80.0,50.0,100.0,"80.0 [50.0, 100.0]",90.0,70.0,100.0,"90.0 [70.0, 100.0]"
ours,pair,45,24.4,13.3,37.8,"24.4 [13.3, 37.8]",20.0,11.1,29.6,"20.0 [11.1, 29.6]",19.6,12.4,27.1,"19.6 [12.4, 27.1]",37.8,24.4,51.1,"37.8 [24.4, 51.1]",51.1,37.8,66.7,"51.1 [37.8, 66.7]"
ours,negative,90,43.3,33.3,53.4,"43.3 [33.3, 53.4]",43.3,35.9,50.4,"43.3 [35.9, 50.4]",42.0,35.8,48.7,"42.0 [35.8, 48.7]",73.3,63.3,82.2,"73.3 [63.3, 82.2]",85.6,77.8,92.2,"85.6 [77.8, 92.2]"
